Metode,F1-Score (Macro),Accuracy,Inference Time (s),Waktu Optimasi (s)
TPE,0.7892549856772144,0.9915216081676654,1.794820303999586,3554.110425710678
NSGA-II,0.7962390571879014,0.9917181901772408,4.355295885998203,4839.7380566596985
Random,0.7962390571879014,0.9917181901772408,4.365765677001036,4841.584346532822
